id_reservasi,id_slot_parkir,id_pengguna,tanggal_reservasi_target,jam_masuk_target,jam_keluar_target,durasi_reservasi_menit,tipe_kendaraan,lantai_parkir_target,hari_reservasi_target,waktu_pembuatan_reservasi,status_akhir_reservasi,total_biaya_rupiah,prediksi_cuaca_pemesanan,info_acara_khusus_pemesanan,estimasi_okupansi_saat_pesan
RES0001,A01,USER001,15-03-2023,08:00,10:00,120,Mobil,P1,Rabu,14-03-2023 10:22,Selesai,10000,Cerah,Tidak_Ada,0.45
RES0002,B12,USER002,15-03-2023,09:30,12:30,180,Motor,P2,Rabu,15-03-2023 08:10,Selesai,9000,Cerah,Tidak_Ada,0.5
RES0003,C05,USER003,16-03-2023,14:00,18:00,240,Mobil,B1,Kamis,15-03-2023 17:45,Dikonfirmasi_Belum_Digunakan,20000,Berawan,Tidak_Ada,0.6
RES0004,A10,USER004,17-03-2023,17:00,17:30,30,Motor,P1,Jumat,17-03-2023 16:50,Selesai,1000,Hujan Ringan,Tidak_Ada,0.75
RES0005,D20,USER005,18-03-2023,10:00,16:00,360,Mobil,P3,Sabtu,10-03-2023 11:00,Selesai,30000,Cerah,Konser,0.85
RES0006,B03,USER001,18-03-2023,19:00,23:00,240,Mobil,P2,Sabtu,18-03-2023 15:30,Dibatalkan_Pengguna,20000,Berawan,Konser,0.88
RES0007,A02,USER006,19-03-2023,11:00,13:00,120,Motor,P1,Minggu,19-03-2023 10:00,Selesai,6000,Cerah,Pameran,0.7
RES0008,C11,USER007,20-03-2023,07:30,17:30,600,Mobil,B1,Senin,13-03-2023 09:00,Selesai,50000,Cerah,Tidak_Ada,0.3
RES0009,P2A5,USER008,01-04-2023,09:00,11:00,120,Mobil,P2,Sabtu,30-03-2023 14:30,Selesai,10000,Cerah,Tidak_Ada,0.65
RES0010,P1B2,USER009,01-04-2023,10:30,12:00,90,Motor,P1,Sabtu,01-04-2023 09:15,Selesai,4500,Cerah,Tidak_Ada,0.7
RES0011,B1C3,USER010,02-04-2023,14:00,17:00,180,Mobil,B1,Minggu,28-03-2023 10:00,Dikonfirmasi_Belum_Digunakan,15000,Berawan,Olahraga,0.8
RES0012,P3D1,USER011,03-04-2023,08:00,16:00,480,Mobil,P3,Senin,02-04-2023 18:00,Selesai,40000,Hujan Ringan,Tidak_Ada,0.4
RES0013,P1A8,USER012,03-04-2023,18:00,20:00,120,Motor,P1,Senin,03-04-2023 17:30,Tidak_Hadir,6000,Hujan Ringan,Tidak_Ada,0.55
RES0014,P2B7,USER013,04-04-2023,10:00,11:00,60,Mobil,P2,Selasa,04-04-2023 09:00,Selesai,5000,Cerah,Tidak_Ada,0.45
RES0015,B1A1,USER014,05-04-2023,13:00,15:30,150,Motor,B1,Rabu,01-04-2023 16:00,Dibatalkan_Pengguna,7500,Berawan,Tidak_Ada,0.5
RES0016,P3C9,USER015,06-04-2023,09:30,17:30,480,Mobil,P3,Kamis,05-04-2023 20:00,Selesai,40000,Cerah,Tidak_Ada,0.35
RES0017,P1D4,USER001,07-04-2023,16:00,19:00,180,Mobil,P1,Jumat,07-04-2023 12:00,Selesai,15000,Hujan Lebat,Tidak_Ada,0.7
RES0018,P2A1,USER002,08-04-2023,11:00,15:00,240,Motor,P2,Sabtu,02-04-2023 10:00,Selesai,12000,Cerah,Pameran,0.82
RES0019,B1B5,USER003,09-04-2023,13:00,14:00,60,Mobil,B1,Minggu,09-04-2023 11:30,Dikonfirmasi_Belum_Digunakan,5000,Berawan,Tidak_Ada,0.68
RES0020,P3B8,USER004,10-04-2023,07:00,09:00,120,Mobil,P3,Senin,03-04-2023 15:00,Selesai,10000,Cerah,Tidak_Ada,0.33
RES0021,A15,USER016,01-05-2023,08:30,11:30,180,Mobil,P1,Senin,30-04-2023 09:15,Selesai,15000,Cerah,Tidak_Ada,0.48
RES0022,B07,USER017,01-05-2023,10:00,13:00,180,Motor,P2,Senin,01-05-2023 07:30,Selesai,9000,Cerah,Tidak_Ada,0.52
RES0023,C12,USER018,02-05-2023,15:00,19:00,240,Mobil,B1,Selasa,01-05-2023 16:00,Dikonfirmasi_Belum_Digunakan,20000,Berawan,Tidak_Ada,0.62
RES0024,A05,USER019,03-05-2023,17:30,18:00,30,Motor,P1,Rabu,03-05-2023 17:00,Selesai,1000,Hujan Ringan,Tidak_Ada,0.77
